38.9658	100.1969	39.0000
39.1613	98.9323	38.9900
39.3569	97.3865	38.9400
39.5525	95.8407	38.8800
39.7805	94.5762	38.8900
40.0085	93.1712	38.8800
40.1715	92.0470	38.8500
40.4321	90.5015	38.8500
40.6925	89.3778	38.9000
40.8880	88.1132	38.8700
41.1486	86.7083	38.8800
41.3765	85.5844	38.8900
41.6695	84.3202	38.9500
41.8650	83.0556	38.9000
42.1579	81.9320	38.9700
42.3859	80.6675	38.9500
42.6465	79.2626	38.9300
42.9070	77.9983	38.9300
43.2000	76.7341	38.9500
43.4931	75.1887	38.9200
43.7536	73.7838	38.8800
44.0141	72.5194	38.8600
44.3072	71.1146	38.8300
44.5677	69.7097	38.7800
44.8283	68.1642	38.6800
45.0239	66.7590	38.5500
45.1869	65.4943	38.4100
45.4149	64.2298	38.3300
45.6106	62.4028	38.0800
45.9037	60.8574	37.9800
46.0994	59.3116	37.7800
46.2949	57.9064	37.6100
46.4904	56.7824	37.5000
46.7185	55.2368	37.3100
46.9140	53.9722	37.1600
47.1095	52.5670	36.9600
47.3050	51.3024	36.7900
47.5330	50.0380	36.6400
47.7609	49.0547	36.5600
48.0213	47.9310	36.4600
48.2167	47.0882	36.3900
48.4444	46.3861	36.3800
48.6724	45.2622	36.2400
48.9979	43.9981	36.1300
49.3884	42.5937	36.0200
49.6488	41.6106	35.9200
49.9092	40.6275	35.8200
50.1047	39.3629	35.5700
50.3002	38.0983	35.3100
50.4957	36.6931	34.9900
50.7238	35.1474	34.6400
50.8868	34.0233	34.3600
51.1148	32.7588	34.0800
51.3103	31.3537	33.7100
51.4733	30.0889	33.3500
51.6363	28.8242	32.9800
51.7344	27.5592	32.5500
51.8974	26.1539	32.1000
52.0605	24.7486	31.6200
52.1585	23.3430	31.0900
52.3215	22.0783	30.6400
52.4848	20.1106	29.8400
52.6479	18.5647	29.2100
52.8110	17.1593	28.6200
52.9416	15.7539	27.9900
53.1046	14.3486	27.3400
53.2352	12.8025	26.5700
53.3658	11.3971	25.8400
53.4966	9.4292	24.7200
53.5299	7.3204	23.3900
53.5306	5.6332	22.2500
53.6613	3.9466	21.0800
53.7918	2.6817	20.1500
53.8574	1.2760	19.0100
53.9878	0.2924	18.1400

