34.40053125	99.66561073
34.8285221	96.77828799
35.23694533	93.56625119
35.68211909	90.31877289
36.25818048	87.03593138
36.7643887	83.55416819
37.29795027	79.73006318
37.74640596	76.49249009
38.504886	73.26749429
38.98192282	70.0593677
39.60079097	67.02715665
40.17058363	64.00259963
40.78184904	61.61890644
41.60420866	57.21479304
42.32554268	54.2216939
43.19798716	50.83809223
44.11192799	47.70313899
45.02766325	43.70033381
46.0383915	39.99111271
46.87530731	36.33554814
47.90453479	32.33516055
48.82000443	29.64670566
49.70806168	25.76531773
50.58641482	23.20510217
51.24088246	19.87272967
51.83932709	17.56123105
52.50410094	14.30306939
53.10246292	11.05928597
53.46842765	8.731118786
53.96309599	6.182149364
54.31207851	3.455130674
54.51229396	1.039999178
